name,nada,stk,make,model,year,odometer,age,cost
2015 Nissan Armada Platinum,"$42,800 ",C618188,2015 Nissan Armada Platinum,2015 Nissan Armada Platinum,2015,"1,601",21,"$43,298 "
2013 Ford F-150,"$35,900 ",CPE51722,2013 Ford F-150,2013 Ford F-150,2013,"28,625",50,"$36,688 "
2015 Ford F-250SD,"$34,825 ",CPB45026,2015 Ford F-250SD,2015 Ford F-250SD,2015,"18,783",105,"$34,616 "
2014 Toyota Highlander Limited,"$34,600 ",C015667,2014 Toyota Highlander Limited,2014 Toyota Highlander Limited,2014,"20,584",74,"$34,159 "
2013 Chevrolet Silverado 1500 LTZ,"$33,850 ",CP174028,2013 Chevrolet Silverado 1500 LTZ,2013 Chevrolet Silverado 1500 LTZ,2013,"23,798",18,"$30,117 "
2015 Dodge Ram 1500,"$33,075 ",CP540426,2015 Dodge Ram 1500,2015 Dodge Ram 1500,2015,"16,416",22,"$35,127 "
2014 Dodge Ram 1500 Sport,"$32,975 ",C332806,2014 Dodge Ram 1500 Sport,2014 Dodge Ram 1500 Sport,2014,"9,099",42,"$33,624 "
2014 Nissan Titan PRO,"$30,300 ",CP516320,2014 Nissan Titan PRO,2014 Nissan Titan PRO,2014,"24,512",50,"$30,191 "
2014 Jeep Wrangler Unlimited Sport,"$28,900 ",C232176,2014 Jeep Wrangler Unlimited Sport,2014 Jeep Wrangler Unlimited Sport,2014,"35,997",92,"$30,455 "
2015 Dodge Charger R/T,"$28,150 ",C729508,2015 Dodge Charger R/T,2015 Dodge Charger R/T,2015,"18,972",49,"$28,525 "
2014 Ford Explorer XLT,"$27,150 ",CPB40201,2014 Ford Explorer XLT,2014 Ford Explorer XLT,2014,"34,904",50,"$25,349 "
2014 Dodge Ram 1500,"$27,025 ",CP372958,2014 Dodge Ram 1500,2014 Dodge Ram 1500,2014,"39,683",99,"$28,874 "
2014 Nissan Maxima 3.5 SV,"$26,375 ",C467246,2014 Nissan Maxima 3.5 SV,2014 Nissan Maxima 3.5 SV,2014,"2,976",66,"$28,941 "
2015 Jeep Cherokee Limited,"$25,100 ",C517779,2015 Jeep Cherokee Limited,2015 Jeep Cherokee Limited,2015,"11,701",113,"$23,656 "
2014 Nissan Maxima 3.5 S,"$24,775 ",C489270,2014 Nissan Maxima 3.5 S,2014 Nissan Maxima 3.5 S,2014,"19,336",2,
2015 Nissan Frontier SV,"$24,300 ",CP766151,2015 Nissan Frontier SV,2015 Nissan Frontier SV,2015,"3,286",58,"$27,261 "
2014 Nissan Frontier SV,"$24,125 ",CP721324,2014 Nissan Frontier SV,2014 Nissan Frontier SV,2014,"16,516",44,"$24,958 "
