name,nada,stk,make,model,year,odometer,age,cost
Chevy,"$6,225 ",C004255,Honda,Camry SE,2013,"107,902",34,"$7,700 "
Chevy,"$12,975 ",C283136,Honda,Camry SE,2006,"99,513",7,"$9,500 "
Chevy,"$9,875 ",C013891,Honda,Camry SE,2010,"98,790",57,"$11,168 "
Chevy,"$8,175 ",C708846,Honda,Camry SE,2012,"94,073",17,"$7,924 "
Chevy,"$10,200 ",C204740,Honda,Camry SE,2010,"88,352",22,"$11,203 "
Chevy,"$10,725 ",C207288,Honda,Camry SE,2012,"75,289",17,"$9,935 "
Chevy,"$12,250 ",C221315,Honda,Camry SE,2013,"70,735",5,"$12,492 "
Chevy,"$13,325 ",C867202,Honda,Camry SE,2012,"69,355",29,"$15,023 "
Chevy,"$10,700 ",C279735,Honda,Camry SE,2013,"59,197",10,"$13,660 "
Chevy,"$12,675 ",CP771830,Honda,Camry SE,2013,"59,151",81,"$15,120 "
Chevy,"$13,625 ",CP209235,Honda,Camry SE,2014,"48,027",215,"$16,635 "
Chevy,"$21,550 ",CPB55305,Honda,Camry SE,2014,"46,278",109,"$25,540 "
Chevy,"$16,575 ",C420605,Honda,Camry SE,2013,"46,180",14,"$16,914 "
Chevy,"$11,275 ",C279006,Honda,Camry SE,2014,"46,045",6,"$13,495 "
Chevy,"$14,200 ",C669457,Honda,Camry SE,2013,"45,119",25,"$15,391 "
Chevy,"$18,425 ",CP511798,Honda,Camry SE,2014,"44,667",134,"$18,526 "
Chevy,"$10,600 ",C101419,Honda,Camry SE,2009,"43,744",31,"$11,607 "
Chevy,"$19,425 ",CP545217,Honda,Camry SE,2015,"43,155",62,"$19,844 "
Chevy,"$13,675 ",CP393261,Honda,Camry SE,2014,"41,725",29,"$16,306 "
Chevy,"$17,625 ",CPE07185,Honda,Camry SE,2013,"39,955",28,"$18,297 "
Chevy,"$27,525 ",CP372958,Honda,Camry SE,2014,"39,683",96,"$28,874 "
Chevy,"$28,375 ",C232176,Honda,Camry SE,2014,"35,997",89,"$30,455 "
Chevy,"$16,025 ",CP615812,Honda,Camry SE,2013,"34,910",25,"$16,470 "
Chevy,"$26,800 ",CPB40201,Honda,Camry SE,2014,"34,904",47,"$25,349 "
Chevy,"$17,025 ",CP192724,Honda,Camry SE,2013,"34,440",74,"$16,776 "
Chevy,"$13,300 ",C944658,Honda,Camry SE,2014,"33,368",10,"$13,665 "
Chevy,"$11,650 ",C614119,Honda,Camry SE,2014,"33,219",11,"$12,600 "
Chevy,"$10,400 ",C717898,Honda,Camry SE,2013,"33,098",38,"$13,078 "
Chevy,"$10,050 ",C751428,Honda,Camry SE,2013,"32,637",19,"$5,000 "
Chevy,"$14,050 ",C364708,Honda,Camry SE,2014,"32,286",61,"$15,669 "
Chevy,"$22,150 ",C246865,Honda,Camry SE,2012,"31,574",29,"$22,051 "
Chevy,"$16,200 ",CP135208,Honda,Camry SE,2015,"30,211",28,"$16,838 "
Chevy,"$18,850 ",CP102188,Honda,Camry SE,2014,"28,693",83,"$20,419 "
Chevy,"$36,575 ",CPE51722,Honda,Camry SE,2013,"28,625",47,"$36,688 "
Chevy,"$20,550 ",C142721,Honda,Camry SE,2010,"28,071",12,"$22,052 "
