name,nada,stk,make,model,year,odometer,age,cost
2015 Nissan Armada Platinum,"$42,675 ",C618188,"SUV, Large Sport Utility",2015 Nissan Armada Platinum,2015,"1,601",18,"$43,298 "
2013 Ford F-150,"$36,575 ",CPE51722,"Truck, Large Pick-up",2013 Ford F-150,2013,"28,625",47,"$36,688 "
2015 Dodge Ram 1500,"$33,450 ",CP540426,"Truck, Large Pick-up",2015 Dodge Ram 1500,2015,"16,416",19,"$35,127 "
2015 Ford F-250SD,"$34,500 ",CPB45026,"Truck, Large Pick-up",2015 Ford F-250SD,2015,"18,783",102,"$34,616 "
2014 Toyota Highlander Limited,"$33,850 ",C015667,"SUV, Intermediate Sport Utility",2014 Toyota Highlander Limited,2014,"20,584",71,"$34,159 "
2014 Dodge Ram 1500 Sport,"$32,825 ",C332806,"Truck, Large Pick-up",2014 Dodge Ram 1500 Sport,2014,"9,099",39,"$33,624 "
2014 Jeep Wrangler Unlimited Sport,"$28,375 ",C232176,"SUV, Intermediate Sport Utility",2014 Jeep Wrangler Unlimited Sport,2014,"35,997",89,"$30,455 "
2014 Nissan Titan PRO,"$30,400 ",CP516320,"Truck, Large Pick-up",2014 Nissan Titan PRO,2014,"24,512",47,"$30,191 "
2013 Chevrolet Silverado 1500 LTZ,"$33,850 ",CP174028,"Truck, Large Pick-up",2013 Chevrolet Silverado 1500 LTZ,2013,"23,798",15,"$30,072 "
2014 Nissan Maxima 3.5 SV,"$26,150 ",C467246,"Car, Intermediate",2014 Nissan Maxima 3.5 SV,2014,"2,976",63,"$28,941 "
2014 Dodge Ram 1500,"$27,525 ",CP372958,"Truck, Large Pick-up",2014 Dodge Ram 1500,2014,"39,683",96,"$28,874 "
2015 Dodge Charger R/T,"$27,950 ",C729508,"Car, Intermediate",2015 Dodge Charger R/T,2015,"18,972",46,"$28,525 "
2015 Nissan Frontier SV,"$24,025 ",CP766151,"Truck, Small Pick-up",2015 Nissan Frontier SV,2015,"3,286",55,"$27,261 "
2014 Nissan Frontier SV,"$25,200 ",C752783,"Truck, Small Pick-up",2014 Nissan Frontier SV,2014,"6,566",11,"$25,589 "
2014 Ford F-150,"$21,550 ",CPB55305,"Truck, Large Pick-up",2014 Ford F-150,2014,"46,278",109,"$25,540 "
2014 Ford Explorer XLT,"$26,800 ",CPB40201,"SUV, Intermediate Sport Utility",2014 Ford Explorer XLT,2014,"34,904",47,"$25,349 "
2014 Nissan Frontier SV,"$24,475 ",CP721324,"Truck, Small Pick-up",2014 Nissan Frontier SV,2014,"16,516",41,"$24,958 "
